피소유 기관,소유 기관,지분,비고
인천국제공항공사,국토교통부,100,
한국가스공사,정부,26.15,
한국가스공사,한국전력공사,20.47,
한국가스공사,지방자치단체,7.39,
한국가스공사,우리사주,1.07,
한국가스공사,외국인,9.71,
한국가스공사,자기주식,5.46,
한국가스공사,일반주주,29.21,
한국공항공사,국토교통부,48.3,
한국공항공사,기획재정부,47.3,
한국공항공사,한국자산관리공사,4.4,
한국남동발전,한국전력공사,100,
한국남부발전,한국전력공사,100,
한국도로공사,국토교통부,79.41,
한국도로공사,주택도시보증공사,8.14,
한국도로공사,산업은행,7.44,
한국도로공사,산업은행,2.1,
한국도로공사,한국자산관리공사,1.83,
한국도로공사,주식회사 에스알,0.73,
한국도로공사,국민은행,0.01,
한국동서발전,한국전력공사,100,
한국서부발전,한국전력공사,100,
한국석유공사,정부,100,
한국수력원자력,한국전력공사,100,
한국전력공사,정부,18.2,
한국전력공사,산업은행,32.9,
한국전력공사,국민연금공단,7.51,
한국전력공사,외국인,15.18,
한국전력공사,기타,26.21,
한국중부발전,한국전력공사,100,
한국지역난방공사,산업통상자원부,34.55,
한국지역난방공사,한국전력공사,19.55,
한국지역난방공사,한국에너지공단,10.53,
한국지역난방공사,서울특별시,10.36,
한국지역난방공사,우리사주조합,4.45,
한국지역난방공사,기타,20.56,
대한석탄공사,정부,100,
주택도시보증공사,국토교통부,89.2,
주택도시보증공사,자기주식,6.54,
주택도시보증공사,국민은행,2.94,
주택도시보증공사,기타,1.32,
제주국제자유도시개발센터,,0,
한국광해광업공단,정부,99.88,
한국광해광업공단,산업은행,0.12,
한국수자원공사,정부,94.48,
한국수자원공사,산업은행,5.45,
한국수자원공사,지자체,0.07,
한국철도공사,정부,100,
한국토지주택공사,정부,84.65,
한국토지주택공사,산업은행,10.31,
한국토지주택공사,산업은행,5.04,
예금보험공사,,0,무자본특수법인
중소벤처기업진흥공단,,0,정부출연 기금운영
한국자산관리공사,기획재정부,74.16,
한국자산관리공사,국토교통부,14.83,
한국자산관리공사,산업은행,6.6,
한국자산관리공사,산업은행,2.08,
한국주택금융공사,정부,59.8,
한국주택금융공사,한국은행,36.3,
한국주택금융공사,주택도시기금,3.9,
국가철도공단,,0,무자본특수법인
대한무역투자진흥공사,기획재정부,100,
한국농어촌공사,기획재정부,100,
한국산업단지공단,,0,
한국장학재단,,0,정부출연 기금운영
부산항만공사,기획재정부,87.31,
부산항만공사,한국해양진흥공사,12.69,
새만금개발공사,농림축산식품부,73.28,
새만금개발공사,기획재정부,26.72,
여수광양항만공사,기획재정부,38.56,
여수광양항만공사,해양수산부,32.64,
여수광양항만공사,한국해양진흥공사,12.7,
여수광양항만공사,산업은행,8.05,
여수광양항만공사,수출입은행,8.05,
울산항만공사,기획재정부,87.25,
울산항만공사,한국해양진흥공사,12.69,
울산항만공사,해양수산부,0.06,
인천항만공사,기획재정부,59.51,
인천항만공사,해양수산부,21.16,
인천항만공사,한국해양진흥공사,12.69,
인천항만공사,KDB 산업은행,3.32,
인천항만공사,산업은행,3.32,
한국해양진흥공사,정부,50.81,
한국해양진흥공사,산업은행,20.8,
한국해양진흥공사,산업은행,17.48,
한국해양진흥공사,한국자산관리공사,7.58,
한국해외인프라도시개발지원공사,기획재정부,56.16,
한국해외인프라도시개발지원공사,환경부,6.02,
한국해외인프라도시개발지원공사,한국토지주택공사,6.29,
한국해외인프라도시개발지원공사,건설공제조합,6.02,
한국해외인프라도시개발지원공사,산업은행,5.62,
한국해외인프라도시개발지원공사,한국철도공사,4.52,
한국해외인프라도시개발지원공사,한국도로공사,4.17,
한국해외인프라도시개발지원공사,한국수자원공사,4.17,
한국해외인프라도시개발지원공사,인천국제공항공사,3.7,
한국해외인프라도시개발지원공사,한국공항공사,2.04,
한국해외인프라도시개발지원공사,국가철도공단,1.31,
농협중앙회,,0,
수협중앙회,,0,
산업은행,기획재정부,91.9,
산업은행,국토교통부,5.23,
산업은행,산업통상자원부,1.67,
산업은행,해양수산부,0.48,
산업은행,기후대응기금,0.72,
기업은행,정부,59.5,
기업은행,산업은행,7.2,
기업은행,수출입은행,1.84,
기업은행,기타,31.46,
수출입은행,정부,76.38,
수출입은행,산업은행,16.72,
수출입은행,한국은행,6.9,
